network,S,L,C,rho,maxtl,diam,entropy,T,B,I,GenSD,VulSD,MxSim,Cannib,Omniv,S1,S2,S3,S4,S5,D1,D2,D3,D4,D5,D6,D7,D8
N_all,42,250,0.1417233560090703,0.7355083714649218,2.5999999999999996,3,0.7665383470677503,0.21428571428571427,0.6190476190476191,0.16666666666666663,1.8154742980359893,0.6500815708666781,0.8760083159097938,0.047619047619047616,0.2619047619047619,0.011861056198813894,0.10449025698955097,0.0,0.14600395368539962,0.7325614233267439,0.0025416548997458347,0.001976842699802316,0.0005648121999435188,0.0,0.0,0.0,0.0,0.0
N_all,37,161,0.11760409057706354,0.6887722191262575,3.1,2,0.8714130636946665,0.10810810810810811,0.40540540540540543,0.48648648648648646,1.5551066299829601,0.6791852807611958,0.8929214929214927,0.05405405405405406,0.16216216216216217,0.15844155844155844,0.09675324675324676,0.0,0.1616883116883117,0.5714285714285714,0.00974025974025974,0.001948051948051948,0.0,0.0,0.0,0.0,0.0,0.0
N_all,31,83,0.08636836628511967,0.606192814587758,3.5,3,0.8666571526440381,0.0,0.5806451612903226,0.4193548387096774,1.6741728682142218,0.677711289602709,0.917741935483871,0.0967741935483871,0.12903225806451613,0.18181818181818182,0.030303030303030304,0.0,0.16856060606060605,0.6022727272727273,0.015151515151515152,0.001893939393939394,0.0,0.0,0.0,0.0,0.0,0.0
N_all,16,25,0.09765625,0.6261796243749713,3.0,2,0.9593863679126836,0.0,0.5625,0.4375,1.6015992007990014,0.8734300200931957,0.8331845238095238,0.125,0.125,0.20930232558139536,0.0,0.0,0.2441860465116279,0.5465116279069767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_all,41,169,0.10053539559785842,0.6697001782790704,3.0625,2,0.8397731681259347,0.12195121951219512,0.5121951219512195,0.36585365853658536,1.58733476795474,0.7976366477544597,0.939301947904811,0.04878048780487805,0.12195121951219512,0.19776536312849163,0.05139664804469274,0.0,0.2011173184357542,0.5402234636871508,0.00782122905027933,0.0016759776536312849,0.0,0.0,0.0,0.0,0.0,0.0
N_all,19,28,0.07756232686980609,0.6067468146428578,2.75,2,0.9547371232921406,0.0,0.631578947368421,0.368421052631579,1.910853354974601,0.8573908371443257,0.8593567251461988,0.05263157894736842,0.05263157894736842,0.17272727272727273,0.0,0.0,0.19090909090909092,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_all,35,118,0.0963265306122449,0.7169850689688638,3.6666666666666665,3,0.8712402007832166,0.0,0.45714285714285713,0.5428571428571429,1.835611033847773,0.810979625570139,0.8915918367346939,0.08571428571428572,0.14285714285714285,0.1752767527675277,0.07472324723247233,0.0,0.1466789667896679,0.5857933579335793,0.015682656826568265,0.0018450184501845018,0.0,0.0,0.0,0.0,0.0,0.0
N_all,75,481,0.08551111111111111,0.607638922571305,4.0,3,0.7947463264335957,0.0,0.5333333333333333,0.4666666666666667,1.8513477468440331,0.5743909021786193,0.9532073385387771,0.02666666666666667,0.10666666666666667,0.1742669310236878,0.03746217259730773,0.0,0.14911823019931128,0.6359177710529061,0.0,0.0005217572785140353,0.0027131378482729836,0.0,0.0,0.0,0.0,0.0
N_all,32,61,0.0595703125,0.6486929504847996,2.7142857142857144,2,0.902669022805473,0.0625,0.625,0.3125,2.2350384021070626,1.0265945492137336,,0.0625,0.0625,0.1414141414141414,0.0,0.0,0.18181818181818182,0.6439393939393939,0.03282828282828283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_all,65,417,0.09869822485207101,0.6892953539390422,3.7,3,0.8365272275056183,0.03076923076923077,0.46153846153846156,0.5076923076923077,1.6580976990781309,0.6703840308185437,0.9551345157046678,0.06153846153846154,0.2153846153846154,0.1867451690821256,0.09903381642512077,0.0,0.12484903381642512,0.5670289855072463,0.015398550724637682,0.006340579710144928,0.0,0.0,0.0,0.0006038647342995169,0.0,0.0
N_all,41,153,0.091017251635931,0.5944398693873583,3.0,2,0.8753987613423406,0.12195121951219512,0.5121951219512195,0.36585365853658536,1.7976476339031882,0.9474768695333166,0.9282639885222382,0.04878048780487805,0.04878048780487805,0.07484662576687116,0.0,0.0,0.27177914110429446,0.6447852760736197,0.008588957055214725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_all,65,410,0.0970414201183432,0.622009491140934,3.7777777777777777,3,0.8455381136985082,0.0,0.5076923076923077,0.49230769230769234,1.6463499322275408,0.4268020461702474,0.9466305558613252,0.09230769230769231,0.18461538461538463,0.21596316193399848,0.05894090560245587,0.0,0.11465848042977744,0.5892555640828856,0.01273983115886416,0.004604758250191865,0.0032233307751343056,0.0,0.0,0.0006139677666922486,0.0,0.0
N_all,22,36,0.0743801652892562,0.603763788101533,2.0,1,0.9571416823845703,0.4090909090909091,0.5909090909090909,0.0,1.6714217880746898,1.7746334627470837,0.9564879564879565,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.47368421052631576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_all,36,83,0.06404320987654322,0.6751378290416427,4.0,3,0.8560422513952677,0.0,0.6111111111111112,0.38888888888888884,2.1669872953393816,0.8282889998014001,0.9247076023391814,0.08333333333333333,0.1111111111111111,0.18466353677621283,0.04225352112676056,0.0,0.11267605633802817,0.6384976525821596,0.02034428794992175,0.001564945226917058,0.0,0.0,0.0,0.0,0.0,0.0
N_all,24,87,0.15104166666666666,0.7286939389496475,4.0,3,0.8482003652177751,0.0,0.2916666666666667,0.7083333333333333,1.3967414312078994,0.7312777168825919,0.8878472222222222,0.16666666666666666,0.20833333333333334,0.18392857142857144,0.05357142857142857,0.0,0.20892857142857144,0.4928571428571429,0.05357142857142857,0.005357142857142857,0.0,0.0,0.0,0.0017857142857142857,0.0,0.0
N_all,15,19,0.08444444444444445,0.6164446009125548,2.6666666666666665,2,0.9737794671730475,0.06666666666666667,0.5333333333333333,0.4,1.9672828521441257,1.0535710093699073,0.9111111111111111,0.0,0.06666666666666667,0.14084507042253522,0.0,0.0,0.2112676056338028,0.647887323943662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
